iso_code	location	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty
KHM	Cambodia	16718971	90.672	25.6	4.412	2.385	3645.07	NA
KNA	Saint Kitts and Nevis	53192	212.865	NA	NA	NA	24654.385	NA
KOR	South Korea	51269183	527.967	43.4	13.914	8.622	35938.374	0.2
KWT	Kuwait	4270563	232.128	33.7	2.345	1.114	65530.537	NA
LAO	Laos	7275556	29.715	24.4	4.029	2.322	6397.36	22.7
LBN	Lebanon	6825442	594.561	31.1	8.514	5.43	13367.565	NA
LBR	Liberia	5057677	49.127	19.2	3.057	1.756	752.788	38.6
LBY	Libya	6871287	3.623	29	4.424	2.816	17881.509	NA
LCA	Saint Lucia	183629	293.187	34.9	9.721	6.405	12951.839	NA
LIE	Liechtenstein	38137	237.012	NA	NA	NA	NA	NA
LKA	Sri Lanka	21413250	341.955	34.1	10.069	5.331	11669.077	0.7
LSO	Lesotho	2142252	73.562	22.2	4.506	2.647	2851.153	59.6
LTU	Lithuania	2722291	45.135	43.5	19.002	13.778	29524.265	0.7
LUX	Luxembourg	625976	231.447	39.7	14.312	9.842	94277.965	0.2
LVA	Latvia	1886202	31.212	43.9	19.754	14.136	25063.846	0.7
MAR	Morocco	36910558	80.08	29.6	6.769	4.209	7485.013	1
MCO	Monaco	39244	19347.5	NA	NA	NA	NA	NA
MDA	Moldova	4033963	123.655	37.6	10.864	6.955	5189.972	0.2
MDG	Madagascar	27691019	43.951	19.6	2.929	1.686	1416.44	77.6
MDV	Maldives	540542	1454.433	30.6	4.12	2.875	15183.616	NA
MEX	Mexico	128932753	66.444	29.3	6.857	4.321	17336.469	2.5
MKD	Macedonia	2083380	82.6	39.1	13.26	8.16	13111.214	5
MLI	Mali	20250834	15.196	16.4	2.519	1.486	2014.306	NA
MLT	Malta	441539	1454.037	42.4	19.426	11.324	36513.323	0.2
MMR	Myanmar	54409794	81.721	29.1	5.732	3.12	5591.597	6.4
MNE	Montenegro	628062	46.28	39.1	14.762	9.395	16409.288	1
MNG	Mongolia	3278292	1.98	28.6	4.031	2.421	11840.846	0.5
MNP	Northern Mariana Islands	57557	119.878	NA	NA	NA	NA	NA
MOZ	Mozambique	31255435	37.728	17.7	3.158	1.87	1136.103	62.9
MRT	Mauritania	4649660	4.289	20.3	3.138	1.792	3597.633	6
MSR	Montserrat	4999	NA	NA	NA	NA	NA	NA
MUS	Mauritius	1271767	622.962	37.4	10.945	5.884	20292.745	0.5
MWI	Malawi	19129955	197.519	18.1	2.979	1.783	1095.042	71.4
MYS	Malaysia	32365998	96.254	29.9	6.293	3.407	26808.164	0.1
NAM	Namibia	2540916	3.078	22	3.552	2.085	9541.808	13.4
NCL	New Caledonia	285491	15.342	33.4	9.954	6.489	NA	NA
NER	Niger	24206636	16.955	15.1	2.553	1.378	926	44.5
NGA	Nigeria	206139587	209.588	18.1	2.751	1.447	5338.454	NA
NIC	Nicaragua	6624554	51.667	27.3	5.445	3.519	5321.444	3.2
NLD	Netherlands	17134873	508.544	43.2	18.779	11.881	48472.545	NA
NOR	Norway	5421242	14.462	39.7	16.821	10.813	64800.057	0.2
NPL	Nepal	29136808	204.43	25	5.809	3.212	2442.804	15
NZL	New Zealand	4822233	18.206	37.9	15.322	9.72	36085.843	NA
OMN	Oman	5106622	14.98	30.7	2.355	1.53	37960.709	NA
PAK	Pakistan	220892331	255.573	23.5	4.495	2.78	5034.708	4
PAN	Panama	4314768	55.133	29.7	7.918	5.03	22267.037	2.2
PER	Peru	32971846	25.129	29.1	7.151	4.455	12236.706	3.5
PHL	Philippines	109581085	351.873	25.2	4.803	2.661	7599.188	NA
PNG	Papua New Guinea	8947027	18.22	22.6	3.808	2.142	3823.194	NA
POL	Poland	37846605	124.027	41.8	16.763	10.202	27216.445	NA
PRI	Puerto Rico	2860840	376.232	38.2	15.168	9.829	35044.67	NA
PRT	Portugal	10196707	112.371	46.2	21.502	14.924	27936.896	0.5
PRY	Paraguay	7132530	17.144	26.5	6.378	3.833	8827.01	1.7
PSE	Palestine	5101416	778.202	20.4	3.043	1.726	4449.898	1
PYF	French Polynesia	280904	77.324	32.7	7.775	4.593	NA	NA
QAT	Qatar	2881060	227.322	31.9	1.307	0.617	116935.6	NA
ROU	Romania	19237682	85.129	43	17.85	11.69	23313.199	5.7
RUS	Russia	145934460	8.823	39.6	14.178	9.393	24765.954	0.1
RWA	Rwanda	12952209	494.869	20.3	2.974	1.642	1854.211	56
SAU	Saudi Arabia	34813867	15.322	31.9	3.295	1.845	49045.411	NA
SDN	Sudan	43849269	23.258	19.7	3.548	2.034	4466.507	NA
SEN	Senegal	16743930	82.328	18.7	3.008	1.796	2470.58	38
SGP	Singapore	5850343	7915.731	42.4	12.922	7.049	85535.383	NA
SLE	Sierra Leone	7976985	104.7	19.1	2.538	1.285	1390.3	52.2
SLV	El Salvador	6486201	307.811	27.6	8.273	5.417	7292.458	2.2
SMR	San Marino	33938	556.667	NA	NA	NA	56861.47	NA
SOM	Somalia	15893219	23.5	16.8	2.731	1.496	NA	NA
SRB	Serbia	6804596	80.291	41.2	17.366	NA	14048.881	NA
SSD	South Sudan	11193729	NA	19.2	3.441	2.032	1569.888	NA
STP	Sao Tome and Principe	219161	212.841	18.7	2.886	2.162	3052.714	32.3
SUR	Suriname	586634	3.612	29.6	6.933	4.229	13767.119	NA
SVK	Slovakia	5459643	113.128	41.2	15.07	9.167	30155.152	0.7
SVN	Slovenia	2078932	102.619	44.5	19.062	12.93	31400.84	NA
SWE	Sweden	10099270	24.718	41	19.985	13.433	46949.283	0.5
SWZ	Swaziland	1160164	79.492	21.5	3.163	1.845	7738.975	NA
SXM	Sint Maarten (Dutch part)	42882	1209.088	NA	NA	NA	36327.232	NA
SYC	Seychelles	98340	208.354	36.2	8.606	5.586	26382.287	1.1
SYR	Syria	17500657	NA	21.7	NA	2.577	NA	NA
TCA	Turks and Caicos Islands	38718	37.312	NA	NA	NA	NA	NA
TCD	Chad	16425859	11.833	16.7	2.486	1.446	1768.153	38.4
TGO	Togo	8278737	143.366	19.4	2.839	1.525	1429.813	49.2
THA	Thailand	69799978	135.132	40.1	11.373	6.89	16277.671	0.1
TJK	Tajikistan	9537642	64.281	23.3	3.466	2.155	2896.913	4.8
TLS	Timor	1318442	87.176	18	3.556	1.897	6570.102	30.3
TTO	Trinidad and Tobago	1399491	266.886	36.2	10.014	5.819	28763.071	NA
TUN	Tunisia	11818618	74.228	32.7	8.001	5.075	10849.297	2
TUR	Turkey	84339067	104.914	31.6	8.153	5.061	25129.341	0.2
TWN	Taiwan	23816775	NA	42.2	NA	8.353	NA	NA
TZA	Tanzania	59734213	64.699	17.7	3.108	1.874	2683.304	49.1
UGA	Uganda	45741000	213.759	16.4	2.168	1.308	1697.707	41.6
UKR	Ukraine	43733759	77.39	41.4	16.462	11.133	7894.393	0.1
URY	Uruguay	3473727	19.751	35.6	14.655	10.361	20551.409	0.1
USA	United States	331002647	35.608	38.3	15.413	9.732	54225.446	1.2
UZB	Uzbekistan	33469199	76.134	28.2	4.469	2.873	6253.104	NA
VAT	Vatican	809	NA	NA	NA	NA	NA	NA
VCT	Saint Vincent and the Grenadines	110947	281.787	31.8	7.724	4.832	10727.146	NA
VEN	Venezuela	28435943	36.253	29	6.614	3.915	16745.022	NA
VGB	British Virgin Islands	30237	207.973	NA	NA	NA	NA	NA
VIR	United States Virgin Islands	104423	306.48	42.2	18.601	10.799	NA	NA
VNM	Vietnam	97338583	308.127	32.6	7.15	4.718	6171.884	2
XKX	Kosovo	1932774	NA	NA	NA	NA	NA	NA
YEM	Yemen	29825968	53.508	20.3	2.922	1.583	1479.147	18.8
ZAF	South Africa	59308690	46.754	27.3	5.344	3.053	12294.876	18.9
ZMB	Zambia	18383956	22.995	17.7	2.48	1.542	3689.251	57.5
ZWE	Zimbabwe	14862927	42.729	19.6	2.822	1.882	1899.775	21.4
OWID_WRL	World	7794798729	58.045	30.9	8.696	5.355	15469.207	10
NA	International	NA	NA	NA	NA	NA	NA	NA
