country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,37325.04182059117,37262.34597987488,36977.31126298823,37418.14986401005,37703.881483684025,39143.15103789653,40473.51851247614,40989.44324835774,38784.44391339076,40428.69288197393,42692.51309639803,42822.12449839069,42914.529195069976,43666.71385286525,44043.2085568768,44668.71394267473,45462.04125462904,45959.301992304,46172.61008010269,46743.91973307058
South Korea,21530.31346474567,22997.090118613818,23549.290967443812,24605.599182767714,25516.893684612958,26696.972443931518,28013.770542981372,28588.445091540565,28642.817410018146,30352.016054369913,31228.56268890669,31776.861657718753,32548.74495786335,33425.60877447128,34177.57760365875,35020.38681339822,35938.33836617243,36776.577678677866,37343.25061623333,38016.794611297
United States,45662.8076698563,46029.07152604152,46940.887754314455,48275.26900092577,49512.95385960509,50437.774038967094,50897.775070675416,50349.600615213836,48644.24422557112,49479.39327132224,49883.16940522735,50632.414001629106,51208.825532373696,52080.904318402805,53187.452569246874,53631.70997428511,54470.71744901679,55681.16197035244,56657.20967756645,57530.05352854474
